event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0230,Q0389,DU01,DU01E04,eliminated,-,-,"""To my beautiful Queens, You are everything to me! I came in with 3 Kiwi sisters and leave with a whole Australian sister-hood. Never forget my Dry Ass Pussy!! Anita P.S: See you in two weeks in the trash!!"""
E0231,Q0413,DU01,DU01E04,returned,-,-,-
E0232,Q0418,DU01,DU01E05,eliminated,-,-,"""YIPEE YIPEE! TRANS PEOPLE DESERVE MORE! I LOVE YOU BITCHES ETC THE GLAMOUR BUG xo"""
E0233,Q0417,DU01,DU01E06,eliminated,-,-,"""I HAD TO STAND ON A STOOL TO WRITE THIS! I you All So much MAXI xx"""
E0234,Q0416,DU01,DU01E07,eliminated,-,-,"""only 1 queen could beat me... and that's the Winner of Rupauls Drag Race Down under Kia Kaha. THANK YOU Elektra SHOCK"""
E0235,Q0428,DU02,DU02E01,eliminated,-,-,"""Sisters forever. The loud niece dies. Aahhhh! xoxo Faux"""
E0236,Q0427,DU02,DU02E02,eliminated,-,-,"""Stay f*g'edelic Babbies! Can't wait to see you all again! Love Aubrey (Audrey) Haive! xxx"""
E0237,Q0426,DU02,DU02E03,eliminated,-,-,"""To my delicious pack of cunts: I'm going to miss you all so so so much. Ps: Watch your delivery Minnie. Love, Pomara"""
E0238,Q0425,DU02,DU02E04,eliminated,-,-,"""Thank you Spanky Kong Yuri for being so Kind #love you The Coops xx"""
E0239,Q0424,DU02,DU02E05,eliminated,-,-,"""Live fast eat ass. Boo. xoxo Trish, Yuri. Spankie 4 the win!"""
E0240,Q0423,DU02,DU02E06,eliminated,-,-,"""Thank you for the love, friendship and memories. You're all bastards. KILLS xx P.S. #TeamSpankie"""
E0241,Q0422,DU02,DU02E07,eliminated,-,-,"""Bye Molez. She just didn't pop in, she popped off. Molly. #Imaheelerbaby"""
E0242,Q0438,DU03,DU03E01,eliminated,-,-,"""Glad I got to be here while we all loosened up and got to know each other! See you soon, xoxo Amyl"""
E0243,Q0437,DU03,DU03E02,eliminated,-,-,N/A
E0244,Q0436,DU03,DU03E03,eliminated,-,-,"""To all my sisters! I love you all so much! I'm going to miss you all and can't wait to see how you all do! See you on the outside! Give it your all and be happy with what you put out there! All my love, Ivanna xxx"""
E0245,Q0435,DU03,DU03E04,eliminated,-,-,"""I love you all so sooo much!!! Go for Gold xoxo Rita Menu"""
E0246,Q0434,DU03,DU03E05,eliminated,-,-,"""Cheers xoxo Ash."""
E0247,Q0433,DU03,DU03E06,eliminated,-,-,"""My darlings, you're all bitches, but I love you always. Call me if you need work assholes. Bumpa xox"""
E0248,Q0432,DU03,DU03E07,eliminated,-,-,"""Good luck, Girls. Love you forever. Hollywould oxo"""
E0249,Q0431,DU03,DU03E08,eliminated,-,-,-
E0250,Q0448,DU04,DU04E02,eliminated,-,-,"""It's been an honor to meet you all, you are all so fierce and talented. Remember to LIV, laugh, and love #WINNERSEDIT"""
E0251,Q0447,DU04,DU04E03,eliminated,-,-,"""MABUHEY BAKLAS! I'm so proud to have been in a cast with such talented queens. LOVE YOU ALL!"""
E0252,Q0446,DU04,DU04E04,eliminated,-,-,-
E0253,Q0445,DU04,DU04E05,eliminated,-,-,-
E0254,Q0444,DU04,DU04E06,eliminated,-,-,-
E0255,Q0443,DU04,DU04E07,eliminated,-,-,-
