lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0853,UW01E04,S0128,Q0312,Q0314,Q0314,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0854,UW01E05,S0524,Q0012,Q0121,Q0012,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0855,UW02E01,S0514,Q0403,Q0404,Q0404,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0856,UW02E02,S0515,Q0405,Q0403,Q0403,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0857,UW02E03,S0516,Q0136,Q0326,Q0136,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0858,UW02E04,S0517,Q0402,Q0326,Q0326,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0859,UW02E05,S0518,Q0404,Q0326,Q0404,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0860,UW02E06,S0519,Q0402,Q0404,Q0404,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0861,UW02E07,S0520,Q0402,Q0326,Q0402,,TOPS,No,top-two lip sync for the win; elimination decided separately. from Fandom MD (UW)
L0862,UW03E01,S0507,Q0408,Q0407,Q0408,,TOPS,No,top-two lip sync for the win. from Fandom MD (UW)
L0863,UW03E06,S0512,Q0029,Q0374,Q0029,Q0374,NORMAL,No,from Fandom MD (UW)
L0864,UW03E07,S0513,Q0359,Q0409,Q0359,Q0409,NORMAL,No,from Fandom MD (UW)
L0865,DU01E01,S0629,Q0416,Q0420,Q0416,Q0420,NORMAL,No,-
L0866,DU01E02,S0630,Q0413,Q0419,Q0419,Q0413,NORMAL,No,-
L0867,DU01E03,S0631,Q0419,Q0416,Q0416,Q0419,NORMAL,No,-
L0868,DU01E04,S0508,Q0414,Q0389,Q0414,Q0389,NORMAL,No,-
L0869,DU01E05,S0632,Q0417,Q0418,Q0417,Q0418,NORMAL,No,-
L0870,DU01E06,S0633,Q0417,Q0415,Q0415,Q0417,NORMAL,No,-
L0871,DU01E07,S0634,Q0416,Q0412,Q0412,Q0416,NORMAL,No,-
L0872,DU01E08,S0635,-,-,-,-,CROWN,No,Finale lip-sync for the crown
L0873,DU02E01,S0636,Q0428,Q0421,Q0421,Q0428,NORMAL,No,-
L0874,DU02E02,S0637,Q0427,Q0391,Q0391,Q0427,NORMAL,No,-
L0875,DU02E03,S0638,Q0423,Q0426,Q0423,Q0426,NORMAL,No,-
L0876,DU02E04,S0639,Q0423,Q0425,Q0423,Q0425,NORMAL,No,-
L0877,DU02E05,S0640,Q0422,Q0424,Q0422,Q0424,NORMAL,No,-
L0878,DU02E06,S0207,Q0423,Q0391,Q0391,Q0423,NORMAL,No,-
L0879,DU02E07,S0641,Q0402,Q0422,Q0402,Q0422,NORMAL,No,-
L0880,DU02E08,S0642,-,-,-,-,CROWN,No,Finale lip-sync for the crown
L0881,DU03E01,S0643,Q0438,Q0437,Q0437,Q0438,NORMAL,No,-
L0882,DU03E02,S0297,Q0437,Q0435,Q0435,Q0437,NORMAL,No,-
L0883,DU03E03,S0644,Q0436,Q0435,Q0435,Q0436,NORMAL,No,-
L0884,DU03E04,S0645,Q0435,Q0431,Q0431,Q0435,NORMAL,No,-
L0885,DU03E05,S0646,Q0434,Q0433,Q0433,Q0434,NORMAL,No,-
L0886,DU03E06,S0647,Q0433,Q0430,Q0430,Q0433,NORMAL,No,-
L0887,DU03E07,S0648,Q0430,Q0432,Q0430,Q0432,NORMAL,No,-
L0888,DU03E08,S0649,-,-,-,-,CROWN,No,Finale lip-sync for the crown
L0889,DU04E01,S0650,Q0447,Q0446,-,-,NORMAL,No,-
L0890,DU04E02,S0651,Q0446,Q0448,Q0446,Q0448,NORMAL,No,-
L0891,DU04E03,S0652,Q0447,Q0444,Q0444,Q0447,NORMAL,No,-
L0892,DU04E04,S0653,Q0442,Q0446,Q0442,Q0446,NORMAL,No,-
L0893,DU04E05,S0654,Q0445,Q0444,Q0444,Q0445,NORMAL,No,-
L0894,DU04E06,S0655,Q0444,Q0443,Q0443,Q0444,NORMAL,No,-
L0895,DU04E07,S0656,Q0440,Q0443,Q0440,Q0443,NORMAL,No,-
L0896,DU04E08,S0657,-,-,-,-,CROWN,No,Finale lip-sync for the crown
