lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0678,AS10E05,S0300,Q0174,Q0185,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie)
L0679,AS10E06,S0301,Q0174,Q0218,Q0174,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0680,AS10E07,S0302,Q0172,Q0076,Q0076,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0681,AS10E08,S0303,Q0162,Q0076,Q0076,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0682,AS10E09,S0304,Q0172,Q0076,Q0172,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0683,AS10E12,S0307,Q0076,Q0174,Q0076,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0684,AS11E01,S0338,Q0203,Q0017,Q0017,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0685,AS11E02,S0339,Q0130,Q0203,Q0130,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0686,AS11E03,S0340,Q0203,Q0017,Q0203,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0687,AS11E04,S0341,Q0193,Q0142,Q0142,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0688,AS11E05,S0342,Q0142,Q0131,Q0131,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0689,AS11E06,S0343,Q0187,Q0072,Q0187,-,TOPS,No,Lip Sync for Your Legacy (top two)
L0690,AS02E05,S0378,Q0052,Q0013,-,-,TOPS,No,Lip Sync for Your Legacy (top two); double win (tie); both returned to the competition
L0691,AS04E06,S0532,Q0086,Q0104,Q0104,Q0086,SURVIVAL,Yes,LaLaPaRUza smackdown
L0692,AS04E06,S0535,Q0108,Q0107,Q0107,Q0108,SURVIVAL,Yes,LaLaPaRUza smackdown
L0693,AS04E06,S0536,Q0070,Q0091,Q0091,Q0070,SURVIVAL,Yes,LaLaPaRUza smackdown
L0694,AS04E06,S0063,Q0037,Q0121,-,-,SURVIVAL,Yes,LaLaPaRUza smackdown; double win (tie); Latrice Royale returned
L0695,AS05E01,S0352,Q0030,Q0128,Q0128,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0696,AS05E06,S0357,Q0118,Q0049,Q0049,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0697,AS05E07,S0534,Q0118,Q0078,Q0118,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0698,AS06E01,S0364,Q0025,Q0051,Q0051,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0699,AS06E02,S0365,Q0135,Q0129,-,-,TOPS,No,Lip Sync for Your Legacy vs assassin; double win (tie)
L0700,AS06E03,S0366,Q0067,Q0068,Q0068,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0701,AS06E04,S0367,Q0149,Q0015,Q0015,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0702,AS06E05,S0368,Q0076,Q0123,Q0076,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0703,AS06E06,S0369,Q0018,Q0023,Q0018,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0704,AS06E07,S0370,Q0067,Q0024,Q0024,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0705,AS06E08,S0371,Q0076,Q0147,Q0076,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0706,AS06E09,S0372,Q0135,Q0116,Q0116,-,TOPS,No,Lip Sync for Your Legacy vs assassin
L0707,AS06E10,S0537,Q0041,Q0059,Q0041,Q0059,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R1
L0708,AS06E10,S0538,Q0041,Q0131,Q0131,Q0041,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R2
L0709,AS06E10,S0058,Q0131,Q0025,Q0131,Q0025,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R3
L0710,AS06E10,S0539,Q0136,Q0131,Q0131,Q0136,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R4
L0711,AS06E10,S0540,Q0131,Q0130,Q0131,Q0130,SURVIVAL,Yes,"Rudemption Lip-Sync Smackdown R5; A'Keria quit, Silky performed solo"
L0712,AS06E10,S0541,Q0149,Q0131,Q0131,Q0149,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R6
L0713,AS06E10,S0542,Q0014,Q0131,Q0131,Q0014,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R7
L0714,AS06E10,S0543,Q0111,Q0131,Q0111,Q0131,SURVIVAL,Yes,Rudemption Lip-Sync Smackdown R8 final; Eureka! returned to the competition
L0715,AS06E11,S0373,Q0111,Q0144,-,-,TOPS,No,Lip Sync for Your Legacy vs assassin; double win (tie)
L0716,AS07E12,S0544,Q0240,Q0128,Q0128,Q0240,SURVIVAL,Yes,Smackdown for the Crown; SDADHH bracket R1
L0717,AS07E12,S0545,Q0144,Q0022,Q0022,Q0144,SURVIVAL,Yes,Smackdown for the Crown; SDADHH bracket R1
L0718,AS07E12,S0546,Q0047,Q0103,Q0047,Q0103,SURVIVAL,Yes,"Smackdown for the Crown; crown bracket semifinal, Shea eliminated"
L0719,AS07E12,S0547,Q0119,Q0104,Q0119,Q0104,SURVIVAL,Yes,"Smackdown for the Crown; crown bracket semifinal, Trinity eliminated"
L0720,AS07E12,S0548,Q0022,Q0128,Q0022,Q0128,SURVIVAL,Yes,"Smackdown for the Crown; SDADHH bracket final, Raja named Queen of She Done Already Done Had Herses"
L0721,AS07E12,S0549,Q0047,Q0119,Q0047,Q0119,CROWN,No,Lip sync for the crown; Jinkx crowned AS7
L0722,AS08E12,S0319,Q0241,Q0156,Q0241,Q0156,CROWN,No,Lip sync for the crown; Jimbo crowned AS8
L0723,AS09E10,S0008,Q0170,Q0157,Q0170,Q0157,SURVIVAL,Yes,LaLaPaRuZa smackdown R1
L0724,AS09E10,S0043,Q0134,Q0127,Q0127,Q0134,SURVIVAL,Yes,LaLaPaRuZa smackdown R1
L0725,AS09E10,S0292,Q0132,Q0004,Q0004,Q0132,SURVIVAL,Yes,LaLaPaRuZa smackdown R1
L0726,AS09E10,S0086,Q0174,Q0049,Q0049,Q0174,SURVIVAL,Yes,LaLaPaRuZa smackdown R1
L0727,AS09E10,S0055,Q0004,Q0127,Q0004,Q0127,SURVIVAL,Yes,LaLaPaRuZa smackdown R2
L0728,AS09E10,S0104,Q0170,Q0049,Q0049,Q0170,SURVIVAL,Yes,LaLaPaRuZa smackdown R2
L0729,AS10E10,S0305,Q0098,Q0185,Q0185,Q0098,NORMAL,No,Bottom two All Stars lip sync; Cynthia Lee Fontaine eliminated
L0730,AS10E11,S0306,Q0218,Q0185,Q0218,Q0185,NORMAL,No,Bottom two All Stars lip sync; Mistress Isabelle Brooks eliminated
L0731,AS10E12,S0550,Q0076,Q0176,Q0076,Q0176,SURVIVAL,Yes,Smackdown for the Crown R1
L0732,AS10E12,S0551,Q0197,Q0218,Q0218,Q0197,SURVIVAL,Yes,Smackdown for the Crown R1
L0733,AS10E12,S0552,Q0109,Q0174,Q0174,Q0109,SURVIVAL,Yes,Smackdown for the Crown R1
L0734,AS10E12,S0553,Q0171,Q0172,Q0171,Q0172,SURVIVAL,Yes,Smackdown for the Crown R1
L0735,AS10E12,S0554,Q0171,Q0076,Q0076,Q0171,SURVIVAL,Yes,Smackdown for the Crown semifinal
L0736,AS10E12,S0555,Q0174,Q0218,Q0174,Q0218,SURVIVAL,Yes,Smackdown for the Crown semifinal
L0737,UK01E01,S0487,Q0317,Q0319,Q0317,Q0319,NORMAL,No,from Fandom HTML (UK)
L0738,UK01E02,S0488,Q0314,Q0318,Q0314,Q0318,NORMAL,No,from Fandom HTML (UK)
L0739,UK01E03,S0004,Q0316,Q0317,Q0316,Q0317,NORMAL,No,from Fandom HTML (UK)
L0740,UK01E04,S0489,Q0315,Q0316,Q0315,Q0316,NORMAL,No,from Fandom HTML (UK)
L0741,UK01E05,S0490,Q0240,Q0315,Q0240,Q0315,NORMAL,No,from Fandom HTML (UK)
L0742,UK01E06,S0491,Q0313,Q0314,Q0313,Q0314,NORMAL,No,from Fandom HTML (UK)
L0743,UK01E07,S0492,Q0312,Q0313,Q0312,Q0313,NORMAL,No,from Fandom HTML (UK)
L0744,UK01E08,S0493,Q0240,Q0311,Q0240,,CROWN,No,finale lip sync for the crown; The Vivienne crowned. from Fandom HTML (UK)
