song_id,title,artist,times_used,spotify_track_id,is_rumix,catalog
S0117,Sorry Not Sorry,Demi Lovato,1,-,No,LIPSYNC
S0118,Hood Boy,Fantasia,1,3nPR2jfaPoiVhdLREuAwvg,No,LIPSYNC
S0119,No More Drama,Mary J. Blige,1,-,No,LIPSYNC
S0120,No Scrubs,TLC,1,1KGi9sZVMeszgZOWivFpxs,No,LIPSYNC
S0122,Edge of Glory,Lady Gaga,1,-,No,LIPSYNC
S0123,Starships,Nicki Minaj,1,-,No,LIPSYNC
S0124,Call Your Girlfriend,Robyn,1,-,No,LIPSYNC
S0125,Problem,Ariana Grande ft. Iggy Azalea,1,-,No,LIPSYNC
S0126,S&M,Rihanna,1,-,No,LIPSYNC
S0127,Heart to Break,Kim Petras,1,-,No,LIPSYNC
S0128,Let It Go,Caissie Levy,2,-,No,LIPSYNC
S0129,Burning Up,Madonna,1,48YZhmKL3aZKhQUfpvkelu,No,LIPSYNC
S0130,This Is My Night,Chaka Khan,1,1EZmeztCbpOM1vqDlGyJLQ,No,LIPSYNC
S0131,Firework,Katy Perry,1,-,No,LIPSYNC
S0132,Kill the Lights,"Alex Newell, DJ Cassidy, Nile Rodgers",1,2vI5SqnmV6yY1aSaK2bgRw,No,LIPSYNC
S0133,1999,Prince,1,2QSUyofqpGDCo026OPiTBQ,No,LIPSYNC
S0134,On the Floor,Jennifer Lopez ft. Pitbull,1,-,No,LIPSYNC
S0135,Survivor,Destiny's Child,1,2Mpj1Ul5OFPyyP4wB62Rvi,No,LIPSYNC
S0136,Break My Heart,Dua Lipa,1,017PF4Q3l4DBUiWoXk4OWT,No,LIPSYNC
S0137,If U Seek Amy,Britney Spears,1,2hdy9Wt9qp7M7d0U3ossu2,No,LIPSYNC
S0138,100% Pure Love,Crystal Waters,1,7b8oqADZwbckLjszkHyIoj,No,LIPSYNC
S0139,Fancy,Iggy Azalea ft. Charli XCX,1,-,No,LIPSYNC
S0141,Whole Lotta Woman,Kelly Clarkson,1,1nukLnD50ey3rfs6jNnMJa,No,LIPSYNC
S0143,Fascinated,Company B,1,1mk6Ts3Rl80ZiRuGdV8ydx,No,LIPSYNC
S0144,Shackles (Praise You),Mary Mary,2,7JKEA8xYDoFp4q0QBW2PGg,No,LIPSYNC
S0145,My Humps,Black Eyed Peas,1,-,No,LIPSYNC
S0146,No Tears Left to Cry,Ariana Grande,1,-,No,LIPSYNC
S0147,Strong Enough,Cher,1,144JMbvbR5txNzoZ112wo4,No,LIPSYNC
S0148,Water Me,Lizzo,1,4WbO3H3wFGUdrngpMMs4sF,No,LIPSYNC
S0150,I Love It,Kylie Minogue,1,02Xhm6DxYZn9rtEQjbsFjd,No,LIPSYNC
S0151,Play,Jennifer Lopez,1,7fFCnttacpotkyhTOxKv14,No,LIPSYNC
S0152,My Head & My Heart,Ava Max,1,1KixkQVDUHggZMU9dUobgm,No,LIPSYNC
S0153,Suga Mama,Beyoncé,1,68thzKPaW0pzn5IxcCJd8O,No,LIPSYNC
